,animate.css,AudioKit,bdb,beets,brackets,caffe,calcuta,cpython,earthdata-search,emcee,exo,exports,fsharp,gimp,hiv,hospitalrun-frontend,Hystrix,iina,jenkins,Leaflet,m-coffee,m-names,OptiKey,osquery,PhysicsJS,pybuilder,scikitlearn,shellcheck,soundnode-app,spacemacs,standard,uws
app,0.0118321562168,0.00137718906848,0.0136974235839,0.00577195245119,0.00342465753425,0.00242315569719,0.0107612972973,0.000403112185932,0.00166902914463,0.04,0.00143370883421,0.00600857772796,0.00729927007299,0.000282887502957,0.00826777217379,0.0015589714685,0.00224714739074,0.00839535386365,0.000397242625052,0.00417318304776,0.0218590691846,0.0137169875069,0.166666666667,0.00175315723553,0.00787401574803,0.0769230769231,0.00184667743442,0.0411321739664,0.0106382978723,0.00246825983143,0.125,0.0162587223269
git,0.012896578036,0.00136960152912,0.0135127287136,0.00568061111416,0.000716845878136,0.00229706045661,0.0111766416085,0.000397630945611,0.00159967812125,0.0277777777778,0.00151115670598,0.00550571500933,0.00686663746728,0.000295988882839,0.00922032547,0.00172663296825,0.00224210208018,0.00832482057949,0.000396638968403,0.0041269194646,0.0202733783769,0.0162374610068,0.00273089424047,0.00173776562301,0.0078125,0.00740684855764,0.00131773975563,0.039973390316,0.0106382978723,0.00255792515432,0.125,0.0163846224777
hil,0.0122659045056,0.0013771804157,0.0136979243244,0.00577889083528,0.00342465753425,0.00242833890409,0.010884221653,0.000402648372236,0.00166937575212,0.04,0.00148464520219,0.00633562864948,0.00729927007299,0.000293878987415,0.00911643893012,0.00171616699889,0.00224714084679,0.00839617996955,0.000397270652978,0.00337642939445,0.0220316824344,0.0151968080469,0.166666666667,0.00175311999116,0.00787401574803,0.0769230769231,0.00185031831537,0.0416770118397,0.0106382978723,0.00251000404763,0.125,0.0166592520971
moo,0.0122591260859,0.00137718552068,0.0136979634856,0.00577877469042,0.00342465753425,0.00242635975633,0.0111027596205,0.000402889000153,0.0016691970727,0.04,0.00148677771091,0.00633580264703,0.00729927007299,0.000294348633649,0.00916092958643,0.00172390425923,0.00224714124307,0.00839529183688,0.000397259907002,0.00356541373105,0.0220477903109,0.0154610677249,0.166666666667,0.00175281573683,0.00787401574803,0.0769230769231,0.00185040242864,0.0416795842664,0.0106382978723,0.00250093065565,0.125,0.0166562028417
nac,0.0129264976338,0.00136968936176,0.0135127652625,0.00568023044618,0.000718390804598,0.00229677032993,0.0109459068888,0.000399131543959,0.00159977964821,0.0277777777778,0.0014216649597,0.00547398846094,0.00729927007299,0.000297273643952,0.00920445261206,0.00175580677393,0.00224209823724,0.00832521793268,0.000397261339835,0.00405116586133,0.0202503006086,0.0162520588559,0.00273012507158,0.00174413663092,0.0078125,0.00740680752207,0.00131853075834,0.0400122230317,0.0106382978723,0.00255176110327,0.125,0.0163816177215
new,0.0127774986673,0.00136961385554,0.0135127756683,0.00567966461986,0.000718390804598,0.00229574718943,0.0109744756831,0.00039802314752,0.00160004303044,0.0277777777778,0.00150648432569,0.00541502603815,0.00729927007299,0.000295160053274,0.00853187606697,0.00167016079623,0.00224210236359,0.00832590332196,0.000397260297691,0.00367113271385,0.0200135262422,0.0155242251516,0.0027086984794,0.00174385435195,0.0078125,0.00740681965672,0.00131832325365,0.0400113189466,0.0106382978723,0.00238932932061,0.125,0.0163871626419
pbm,0.0128400697758,0.000916671779287,0.0135127953068,0.00568128090423,0.000718390804598,0.00229697732067,0.0111989937378,0.000399140581727,0.00159944979012,0.0277777777778,0.0015173501237,0.0053615138378,0.00729927007299,0.000296123811157,0.00888634135289,0.00171246457286,0.00224210581529,0.00832621461109,0.000397258319568,0.00375852042934,0.0202731883464,0.0161396941753,0.00271991137907,0.00174471474969,0.0078125,0.00740720471576,0.00131075239567,0.0399910969196,0.0106382978723,0.00252699769148,0.125,0.0163949534356
pbs,0.0122437484066,0.00137715582861,0.0136979030663,0.00575668936435,0.00342465753425,0.00242275164747,0.0111629881728,0.000400392993847,0.00166827267825,0.04,0.00144780481357,0.00538325075375,0.00729927007299,0.000293322661084,0.00921457015252,0.00165121294772,0.00224714165629,0.00839532501781,0.000397267252334,0.00351727582371,0.0220088892222,0.016439138147,0.166666666667,0.00175165866916,0.00787401574803,0.0769230769231,0.00185060642193,0.0416573023523,0.0106382978723,0.00253020628915,0.125,0.0164210662593
pbz,0.0127099997172,0.00136960956855,0.0135127848716,0.00568070530929,0.000718390804598,0.00229468282643,0.010790563343,0.000398356113019,0.00159910025472,0.0277777777778,0.00122110322075,0.00541755619993,0.00729927007299,0.000286128607268,0.0089926420744,0.00168587516991,0.00224209996104,0.00832459835475,0.000397270562294,0.00402402380143,0.0201218923838,0.0126542796333,0.00273313886579,0.00174378583706,0.0078125,0.00740682071148,0.00131828317031,0.0400019650552,0.0106382978723,0.00251859656456,0.125,0.0163080469171
snd,0.0129151983151,0.00136956399304,0.0135129018284,0.00568079355633,0.000718390804598,0.00229737021708,0.0112501826413,0.000399122782177,0.0016002591998,0.0277777777778,0.00150917906782,0.00550991480963,0.00729927007299,0.000297457890959,0.0092341039052,0.00176207060427,0.00224210522236,0.00832529431766,0.000397269490889,0.00403286358141,0.0202687978001,0.0163765431911,0.00273922018265,0.0017439507924,0.0078125,0.00740714776684,0.00131856340087,0.040001666704,0.0106382978723,0.00254821927822,0.125,0.0163866349411
spi,0.012731371154,0.00136842401137,0.0135129319486,0.00568006835326,0.000718390804598,0.00229512526019,0.0109363426882,0.00039907155579,0.00156768330457,0.0277777777778,0.00147885493933,0.0050886213819,0.00729927007299,0.000295942158236,0.00845164369435,0.00159217617588,0.00224211215597,0.00832504558666,0.000397270484888,0.00356819825295,0.0196025412799,0.0162464083624,0.00273546282901,0.00174283601673,0.0078125,0.00740676655101,0.00131832138928,0.0399847447071,0.0106382978723,0.0021378535213,0.125,0.0163865351053
sqr,0.00995333261238,0.00136961945159,0.0135127247515,0.00568059074567,0.000718390804598,0.00229004901668,0.0111584465962,0.00039911298698,0.00159974074227,0.0277777777778,0.00137259416915,0.005218436222,0.00729927007299,0.000265226320842,0.0091512778394,0.0017109087012,0.00224125785323,0.00832527708849,0.000391660291508,0.00349339898854,0.0192883331988,0.0145029374539,0.00272575946952,0.00173814963872,0.0078125,0.00740688745223,0.00131836906117,0.0400113246392,0.0106382978723,0.00214784212485,0.125,0.0163886296844
str,0.0120522157497,0.00136955164326,0.013512751954,0.00567692462975,0.000718390804598,0.0022871832982,0.0108808741512,0.000398884912688,0.00160006446733,0.0277777777778,0.00149854326549,0.0052289224223,0.00729927007299,0.000259059999592,0.00920486679766,0.00167108250623,0.0022421037459,0.00820613866787,0.000397266834352,0.00339495834014,0.018354866449,0.0150955203247,0.0027262134173,0.00174355556966,0.0078125,0.00740671670555,0.00131841157045,0.0399834318958,0.0106382978723,0.00230602984036,0.125,0.0163861051273
